stock1,stock2,reward,theshold choose
1402,2354,0,0
1402,2454,0,0
1402,5871,0,0
1301,2105,0,0
1301,2308,0,0
1301,2311,0,0
1301,2347,0,0
1301,2888,0,0
1301,5880,0,0
1314,2231,0,0
1314,2308,0.41250000000001563,1
1314,2311,0,0
1314,2324,0.08452500000000285,1
1314,2337,0,0
1314,2347,0,0
1314,2371,0.23015000000000185,1
1314,2382,0,0
1314,2474,-0.2697499999999948,0
1314,2882,0,0
1314,2888,0,0
1314,2892,0,0
1314,3406,0,0
1314,3481,0,0
1314,4958,0,0
1314,5871,0.1577000000000126,1
1314,6176,0,0
1434,2352,0,0
1434,2454,0,0
1909,2105,0,0
1909,2301,0,0
1909,2330,0,0
1909,2352,0,0
1909,2382,0,0
1909,2409,0,0
1909,2610,0,0
1909,2882,0,0
1909,2883,0,0
1909,2888,0,0
1909,2892,0.05632500000000107,1
1909,3231,0,0
1909,3481,0,0
1909,6239,0,0
1909,9933,0,0
2204,2311,0,0
2204,2347,0,0
2204,2382,0.31670000000002574,1
2204,2892,0,0
2204,3406,0,0
2204,3481,0,0
2204,3673,1.141500000000022,1
2204,5871,0,0
2204,6176,0,0
2204,6239,0,0
2105,2301,0,0
2105,2308,0,0
2105,2344,0.4484499999999798,1
2105,2454,0.7502499999999941,1
2105,2888,0,0
2105,2892,0,0
2105,3406,0,0
2105,5880,0,0
2105,6176,0,0
2105,9904,0,0
2201,2301,0.22587500000001626,1
2201,2347,0,0
2201,2382,0,0
2201,2409,0.35394999999998333,1
2201,2610,0,0
2201,2883,0,0
2201,2886,0,0
2201,2892,0,0
2201,5880,0,0
2201,6176,0,0
2231,2301,0,0
2231,2347,0,0
2301,2337,0.1531750000000045,1
2301,2344,0,0
2301,2347,0,0
2301,2354,0,0
2301,2382,0,0
2301,2439,0,0
2301,2454,0,0
2301,2474,0,0
2301,2888,-0.18649999999998812,0
2301,2892,0,0
2301,3019,0,0
2301,3406,0,0
2301,3481,0,0
2301,3673,0.9607500000000186,1
2301,5871,0,0
2301,6176,0,0
2301,6239,0,0
2301,9933,0,0
2308,2337,0.6687000000000367,1
2308,2344,0.8705000000000496,1
2308,2354,0.46355000000002633,1
2308,2382,0,0
2308,2454,0,0
2308,3673,0,0
2313,2888,0,0
2311,2347,0,0
2311,2352,0,0
2311,2454,0,0
2324,6176,0,0
2330,2347,-0.2772499999999809,0
2330,2888,0,0
2330,6176,0,0
2344,2354,0,0
2344,2888,0,0
2344,6239,0,0
2337,2344,0,0
2337,2347,0,0
2337,2888,0,0
2337,2892,0,0
2337,6176,0,0
2352,2354,0,0
2352,2892,0,0
2352,5880,0,0
2352,6176,0.2693750000000037,1
2347,2354,0,0
2347,2382,0,0
2347,2409,0,0
2347,2439,0,0
2347,2610,0,0
2347,2883,0,0
2347,2888,0,0
2347,2892,0,0
2347,3406,0,0
2347,3481,0,0
2347,3673,0,0
2347,5871,0,0
2347,5880,0,0
2347,6116,0,0
2347,6176,-0.8328499999999934,0
2347,6239,0,0
2347,9933,0,0
2354,2454,0,0
2354,2883,0,0
2354,2888,0,0
2354,2891,0,0
2354,3231,0,0
2354,6239,0,0
2371,2888,0,0
2371,5871,0,0
2383,2474,3.6064999999999827,1
2383,2888,0,0
2382,2439,0.8062500000000057,1
2382,2454,0,0
2382,2610,0,0
2382,2883,0,0
2382,2886,0,0
2382,2888,0,0
2382,2891,0,0
2382,3231,0,0
2382,3443,0,0
2382,6176,0.22265000000000867,1
2382,6239,0,0
2409,2474,0,0
2409,2881,0,0
2409,2883,0,0
2409,2888,0.021099999999998786,1
2409,3481,0,0
2409,5880,0.06292499999999457,1
2409,6176,0.31640000000000157,1
2439,2888,0,0
2439,2892,0.3881250000000165,1
2439,6239,0.6315000000000452,1
2474,2883,0,0
2474,2888,0,0
2454,2610,0,0
2454,2801,0,0
2454,2883,0,0
2454,2888,0,0
2454,2892,0,0
2454,3481,0.24850000000000705,1
2454,4958,0,0
2454,5871,0,0
2454,6239,-0.40935000000004607,0
2454,9933,0,0
2610,2891,0,0
2610,5880,0,0
2610,6239,0,0
2881,2882,0,0
2881,2883,0,0
2881,2888,0,0
2881,3231,0,0
2881,3481,0,0
2881,6239,0,0
2882,2888,0,0
2888,2892,0,0
2888,3406,-4.165849999999949,0
2888,3443,0,0
2888,3481,-0.33084999999998743,0
2888,5871,0,0
2888,6176,-0.19984999999998365,0
2888,6239,0,0
2891,4958,0,0
2891,6176,0,0
2883,2888,0,0
2883,2891,0,0
2883,2892,0,0
2883,3231,0,0
2883,3481,0.01892500000000119,1
2883,5871,0,0
2883,6176,0,0
2892,3406,1.1496250000000288,1
2892,5880,0,0
2892,6176,0,0
2892,6239,0,0
2892,9933,0.2343750000000071,1
3231,3481,0,0
3231,6239,0,0
3443,6239,0,0
3481,5880,0.11500000000001087,1
3481,6239,0,0
3673,3702,-1.1827499999999702,0
5880,6176,0.04615000000001146,1
5871,6176,0,0
5871,6239,0,0
5871,9933,-1.3292500000000018,0
6116,6176,0.048875000000002444,1
6176,6239,0,0
6176,9933,0,0
